icd10	term
C138	Malignant neoplasm of overlapping sites of hypopharynx
C139	Malignant neoplasm of hypopharynx, unspecified
C140	Malignant neoplasm of pharynx, unspecified
C142	Malignant neoplasm of Waldeyer's ring
C148	Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx
C150	Malignant neoplasm of Cervical part of oesophagus
C151	Malignant neoplasm of Thoracic part of oesophagus
C152	Malignant neoplasm of Abdominal part of oesophagus
C153	Malignant neoplasm of upper third of esophagus
C154	Malignant neoplasm of middle third of esophagus
C155	Malignant neoplasm of lower third of esophagus
C158	Malignant neoplasm of overlapping sites of esophagus
C159	Malignant neoplasm of esophagus, unspecified
C160	Malignant neoplasm of cardia
C161	Malignant neoplasm of fundus of stomach
C162	Malignant neoplasm of body of stomach
C163	Malignant neoplasm of pyloric antrum
C164	Malignant neoplasm of pylorus
C165	Malignant neoplasm of lesser curvature of stomach, unspecified
C166	Malignant neoplasm of greater curvature of stomach, unspecified
C168	Malignant neoplasm of overlapping sites of stomach
C169	Malignant neoplasm of stomach, unspecified
C170	Malignant neoplasm of duodenum
C171	Malignant neoplasm of jejunum
C172	Malignant neoplasm of ileum
C173	Meckel's diverticulum, malignant
C178	Malignant neoplasm of overlapping sites of small intestine
C179	Malignant neoplasm of small intestine, unspecified
C180	Malignant neoplasm of cecum
C181	Malignant neoplasm of appendix
C182	Malignant neoplasm of ascending colon
C183	Malignant neoplasm of hepatic flexure
C184	Malignant neoplasm of transverse colon
C185	Malignant neoplasm of splenic flexure
C186	Malignant neoplasm of descending colon
C187	Malignant neoplasm of sigmoid colon
C188	Malignant neoplasm of overlapping sites of colon
C189	Malignant neoplasm of colon, unspecified
C190	Malignant neoplasm of rectosigmoid junction
C200	Malignant neoplasm of rectum
C210	Malignant neoplasm of anus, unspecified
C211	Malignant neoplasm of anal canal
C212	Malignant neoplasm of cloacogenic zone
C218	Malignant neoplasm of overlapping sites of rectum, anus and anal canal
C220	Liver cell carcinoma
C221	Intrahepatic bile duct carcinoma
C222	Hepatoblastoma
C223	Angiosarcoma of liver
C224	Other sarcomas of liver
C227	Other specified carcinomas of liver
C228	Malignant neoplasm of liver, primary, unspecified as to type
C229	Malignant neoplasm of liver, not specified as primary or secondary
C230	Malignant neoplasm of gallbladder
C240	Malignant neoplasm of extrahepatic bile duct
C241	Malignant neoplasm of ampulla of Vater
C248	Malignant neoplasm of overlapping sites of biliary tract
C249	Malignant neoplasm of biliary tract, unspecified
C250	Malignant neoplasm of head of pancreas
C251	Malignant neoplasm of body of pancreas
C252	Malignant neoplasm of tail of pancreas
C253	Malignant neoplasm of pancreatic duct
C254	Malignant neoplasm of endocrine pancreas
C257	Malignant neoplasm of other parts of pancreas
C258	Malignant neoplasm of overlapping sites of pancreas
C259	Malignant neoplasm of pancreas, unspecified
C260	Malignant neoplasm of intestinal tract, part unspecified
C261	Malignant neoplasm of spleen
C268	Malignant neoplasm of overlapping lesion of digestive system
C269	Malignant neoplasm of ill-defined sites within the digestive system
C300	Malignant neoplasm of nasal cavity
C301	Malignant neoplasm of middle ear
C310	Malignant neoplasm of maxillary sinus
C311	Malignant neoplasm of ethmoidal sinus
C312	Malignant neoplasm of frontal sinus
C313	Malignant neoplasm of sphenoid sinus
C318	Malignant neoplasm of overlapping sites of accessory sinuses
C319	Malignant neoplasm of accessory sinus, unspecified
C320	Malignant neoplasm of glottis
C321	Malignant neoplasm of supraglottis
C322	Malignant neoplasm of subglottis
C323	Malignant neoplasm of laryngeal cartilage
C328	Malignant neoplasm of overlapping sites of larynx
C329	Malignant neoplasm of larynx, unspecified
C330	Malignant neoplasm of trachea
C340	Malignant neoplasm of left main bronchus
C340	Malignant neoplasm of unspecified main bronchus
C340	Malignant neoplasm of right main bronchus
C341	Malignant neoplasm of upper lobe, left bronchus or lung
C341	Malignant neoplasm of upper lobe, unspecified bronchus or lung
C341	Malignant neoplasm of upper lobe, right bronchus or lung
C342	Malignant neoplasm of middle lobe, bronchus or lung
C343	Malignant neoplasm of lower lobe, unspecified bronchus or lung
C343	Malignant neoplasm of lower lobe, left bronchus or lung
C343	Malignant neoplasm of lower lobe, right bronchus or lung
C348	Malignant neoplasm of overlapping sites of right bronchus and lung
C348	Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C348	Malignant neoplasm of overlapping sites of left bronchus and lung
C349	Malignant neoplasm of unspecified part of right bronchus or lung
C349	Malignant neoplasm of unspecified part of left bronchus or lung
C349	Malignant neoplasm of unspecified part of unspecified bronchus or lung
C370	Malignant neoplasm of thymus
C380	Malignant neoplasm of heart
C381	Malignant neoplasm of anterior mediastinum
C382	Malignant neoplasm of posterior mediastinum
C383	Malignant neoplasm of mediastinum, part unspecified
C384	Malignant neoplasm of pleura
C388	Malignant neoplasm of overlapping sites of heart, mediastinum and pleura
C390	Malignant neoplasm of upper respiratory tract, part unspecified
C398	Overlapping lesion of respiratory and intrathoracic organs
C399	Malignant neoplasm of lower respiratory tract, part unspecified
C400	Malignant neoplasm of scapula and long bones of left upper limb
C400	Malignant neoplasm of scapula and long bones of unspecified upper limb
C400	Malignant neoplasm of scapula and long bones of right upper limb
C401	Malignant neoplasm of short bones of unspecified upper limb
C401	Malignant neoplasm of short bones of left upper limb
C401	Malignant neoplasm of short bones of right upper limb
C402	Malignant neoplasm of long bones of unspecified lower limb
C402	Malignant neoplasm of long bones of left lower limb
C402	Malignant neoplasm of long bones of right lower limb
C403	Malignant neoplasm of short bones of unspecified lower limb
C403	Malignant neoplasm of short bones of right lower limb
C403	Malignant neoplasm of short bones of left lower limb
C408	Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
C408	Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
C408	Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
C409	Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
C409	Malignant neoplasm of unspecified bones and articular cartilage of left limb
C409	Malignant neoplasm of unspecified bones and articular cartilage of right limb
C410	Malignant neoplasm of bones of skull and face
C411	Malignant neoplasm of mandible
C412	Malignant neoplasm of vertebral column
C413	Malignant neoplasm of ribs, sternum and clavicle
C414	Malignant neoplasm of pelvic bones, sacrum and coccyx
C418	Overlapping lesion of bone and articular cartilage
C419	Malignant neoplasm of bone and articular cartilage, unspecified
C430	Malignant melanoma of lip
C431	Malignant melanoma of left upper eyelid, including canthus
C431	Malignant melanoma of right upper eyelid, including canthus
C431	Malignant melanoma of right lower eyelid, including canthus
C431	Malignant melanoma of left lower eyelid, including canthus
C431	Malignant melanoma of unspecified eyelid, including canthus
C432	Malignant melanoma of left ear and external auricular canal
C432	Malignant melanoma of right ear and external auricular canal
C432	Malignant melanoma of unspecified ear and external auricular canal
C433	Malignant melanoma of unspecified part of face
C433	Malignant melanoma of nose
C433	Malignant melanoma of other parts of face
C434	Malignant melanoma of scalp and neck
C435	Malignant melanoma of skin of breast
C435	Malignant melanoma of other part of trunk
C435	Malignant melanoma of anal skin
C436	Malignant melanoma of unspecified upper limb, including shoulder
C436	Malignant melanoma of right upper limb, including shoulder
C436	Malignant melanoma of left upper limb, including shoulder
C437	Malignant melanoma of unspecified lower limb, including hip
C437	Malignant melanoma of left lower limb, including hip
C437	Malignant melanoma of right lower limb, including hip
C438	Malignant melanoma of overlapping sites of skin
C439	Malignant melanoma of skin, unspecified
C440	Other specified malignant neoplasm of skin of lip
C440	Unspecified malignant neoplasm of skin of lip
C440	Squamous cell carcinoma of skin of lip
C440	Basal cell carcinoma of skin of lip
C441	Squamous cell carcinoma of skin of left lower eyelid, including canthus
C441	Squamous cell carcinoma of skin of right lower eyelid, including canthus
C441	Basal cell carcinoma of skin of right upper eyelid, including canthus
C441	Basal cell carcinoma of skin of left upper eyelid, including canthus
C441	Unspecified malignant neoplasm of skin of right upper eyelid, including canthus
C441	Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus
C441	Sebaceous cell carcinoma of skin of right upper eyelid, including canthus
C441	Unspecified malignant neoplasm of skin of right lower eyelid, including canthus
C441	Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus
C441	Basal cell carcinoma of skin of unspecified eyelid, including canthus
C441	Other specified malignant neoplasm of skin of left upper eyelid, including canthus
C441	Squamous cell carcinoma of skin of unspecified eyelid, including canthus
C441	Other specified malignant neoplasm of skin of unspecified eyelid, including canthus
C441	Sebaceous cell carcinoma of skin of right lower eyelid, including canthus
C441	Other specified malignant neoplasm of skin of right lower eyelid, including canthus
C441	Other specified malignant neoplasm of skin of left lower eyelid, including canthus
C441	Squamous cell carcinoma of skin of right upper eyelid, including canthus
C441	Sebaceous cell carcinoma of skin of left lower eyelid, including canthus
C441	Squamous cell carcinoma of skin of left upper eyelid, including canthus
C441	Other specified malignant neoplasm of skin of right upper eyelid, including canthus
C441	Basal cell carcinoma of skin of left lower eyelid, including canthus
C441	Unspecified malignant neoplasm of skin of left upper eyelid, including canthus
C441	Unspecified malignant neoplasm of skin of left lower eyelid, including canthus
C441	Sebaceous cell carcinoma of skin of left upper eyelid, including canthus
C441	Basal cell carcinoma of skin of right lower eyelid, including canthus
C442	Basal cell carcinoma of skin of unspecified ear and external auricular canal
C442	Basal cell carcinoma of skin of left ear and external auricular canal
C442	Unspecified malignant neoplasm of skin of left ear and external auricular canal
C442	Squamous cell carcinoma of skin of right ear and external auricular canal
C442	Unspecified malignant neoplasm of skin of right ear and external auricular canal
C442	Other specified malignant neoplasm of skin of unspecified ear and external auricular canal
C442	Other specified malignant neoplasm of skin of right ear and external auricular canal
C442	Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal
C442	Other specified malignant neoplasm of skin of left ear and external auricular canal
C442	Squamous cell carcinoma of skin of left ear and external auricular canal
C442	Basal cell carcinoma of skin of right ear and external auricular canal
C442	Squamous cell carcinoma of skin of unspecified ear and external auricular canal
C443	Other specified malignant neoplasm of skin of nose
C443	Squamous cell carcinoma of skin of unspecified parts of face
C443	Unspecified malignant neoplasm of skin of unspecified part of face
C443	Other specified malignant neoplasm of skin of unspecified parts of face
C443	Basal cell carcinoma of skin of unspecified parts of face
C443	Squamous cell carcinoma of skin of other parts of face
C443	Basal cell carcinoma of skin of nose
C443	Unspecified malignant neoplasm of skin of other parts of face
C443	Squamous cell carcinoma of skin of nose
C443	Unspecified malignant neoplasm of skin of nose
C443	Basal cell carcinoma of skin of other parts of face
C443	Other specified malignant neoplasm of skin of other parts of face
C444	Basal cell carcinoma of skin of scalp and neck
C444	Unspecified malignant neoplasm of skin of scalp and neck
C444	Other specified malignant neoplasm of skin of scalp and neck
C444	Squamous cell carcinoma of skin of scalp and neck
C445	Other specified malignant neoplasm of skin of other part of trunk
C445	Unspecified malignant neoplasm of skin of breast
C445	Basal cell carcinoma of anal skin
C445	Squamous cell carcinoma of skin of breast
C445	Unspecified malignant neoplasm of skin of other part of trunk
C445	Basal cell carcinoma of skin of breast
C445	Unspecified malignant neoplasm of anal skin
C445	Squamous cell carcinoma of skin of other part of trunk
C445	Basal cell carcinoma of skin of other part of trunk
C445	Other specified malignant neoplasm of skin of breast
C445	Other specified malignant neoplasm of anal skin
C445	Squamous cell carcinoma of anal skin
C446	Basal cell carcinoma of skin of right upper limb, including shoulder
C446	Squamous cell carcinoma of skin of left upper limb, including shoulder
C446	Other specified malignant neoplasm of skin of left upper limb, including shoulder
C446	Basal cell carcinoma of skin of left upper limb, including shoulder
C446	Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder
C446	Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder
C446	Basal cell carcinoma of skin of unspecified upper limb, including shoulder
C446	Squamous cell carcinoma of skin of right upper limb, including shoulder
C446	Unspecified malignant neoplasm of skin of right upper limb, including shoulder
C446	Squamous cell carcinoma of skin of unspecified upper limb, including shoulder
C446	Other specified malignant neoplasm of skin of right upper limb, including shoulder
C446	Unspecified malignant neoplasm of skin of left upper limb, including shoulder
C447	Squamous cell carcinoma of skin of unspecified lower limb, including hip
C447	Unspecified malignant neoplasm of skin of right lower limb, including hip
C447	Unspecified malignant neoplasm of skin of left lower limb, including hip
C447	Basal cell carcinoma of skin of unspecified lower limb, including hip
C447	Basal cell carcinoma of skin of left lower limb, including hip
C447	Unspecified malignant neoplasm of skin of unspecified lower limb, including hip
C447	Other specified malignant neoplasm of skin of right lower limb, including hip
C447	Basal cell carcinoma of skin of right lower limb, including hip
C447	Other specified malignant neoplasm of skin of left lower limb, including hip
C447	Squamous cell carcinoma of skin of right lower limb, including hip
C447	Squamous cell carcinoma of skin of left lower limb, including hip
C447	Other specified malignant neoplasm of skin of unspecified lower limb, including hip
C448	Other specified malignant neoplasm of overlapping sites of skin
C448	Basal cell carcinoma of overlapping sites of skin
C448	Unspecified malignant neoplasm of overlapping sites of skin
C448	Squamous cell carcinoma of overlapping sites of skin
C449	Basal cell carcinoma of skin, unspecified
C449	Other specified malignant neoplasm of skin, unspecified
C449	Squamous cell carcinoma of skin, unspecified
C449	Unspecified malignant neoplasm of skin, unspecified
C450	Mesothelioma of pleura
C451	Mesothelioma of peritoneum
C452	Mesothelioma of pericardium
C456	Mesothelioma of pleura
C457	Mesothelioma of other sites
C459	Mesothelioma, unspecified
C460	Kaposi's sarcoma of skin
C461	Kaposi's sarcoma of soft tissue
C462	Kaposi's sarcoma of palate
C463	Kaposi's sarcoma of lymph nodes
C464	Kaposi's sarcoma of gastrointestinal sites
C465	Kaposi's sarcoma of unspecified lung
C465	Kaposi's sarcoma of right lung
C465	Kaposi's sarcoma of left lung
C467	Kaposi's sarcoma of other sites
C468	Kaposi sarcoma of multiple organs
C469	Kaposi's sarcoma, unspecified
C470	Malignant neoplasm of peripheral nerves of head, face and neck
C471	Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder
C471	Malignant neoplasm of peripheral nerves of left upper limb, including shoulder
C471	Malignant neoplasm of peripheral nerves of right upper limb, including shoulder
C472	Malignant neoplasm of peripheral nerves of left lower limb, including hip
C472	Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip
C472	Malignant neoplasm of peripheral nerves of right lower limb, including hip
C473	Malignant neoplasm of peripheral nerves of thorax
C474	Malignant neoplasm of peripheral nerves of abdomen
C475	Malignant neoplasm of peripheral nerves of pelvis
C476	Malignant neoplasm of peripheral nerves of trunk, unspecified
C478	Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
C479	Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
C480	Malignant neoplasm of retroperitoneum
C481	Malignant neoplasm of specified parts of peritoneum
C482	Malignant neoplasm of peritoneum, unspecified
C488	Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
C490	Malignant neoplasm of connective and soft tissue of head, face and neck
C491	Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder
C491	Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder
C491	Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder
C492	Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip
C492	Malignant neoplasm of connective and soft tissue of right lower limb, including hip
C492	Malignant neoplasm of connective and soft tissue of left lower limb, including hip
C493	Malignant neoplasm of connective and soft tissue of thorax
C494	Malignant neoplasm of connective and soft tissue of abdomen
C495	Malignant neoplasm of connective and soft tissue of pelvis
C496	Malignant neoplasm of connective and soft tissue of trunk, unspecified
C498	Malignant neoplasm of overlapping sites of connective and soft tissue
C499	Malignant neoplasm of connective and soft tissue, unspecified
C500	Malignant neoplasm of nipple and areola, unspecified male breast
C500	Malignant neoplasm of nipple and areola, unspecified female breast
C500	Malignant neoplasm of nipple and areola, left female breast
C500	Malignant neoplasm of nipple and areola, right female breast
C500	Malignant neoplasm of nipple and areola, right male breast
C500	Malignant neoplasm of nipple and areola, left male breast
C501	Malignant neoplasm of central portion of right male breast
C501	Malignant neoplasm of central portion of right female breast
C501	Malignant neoplasm of central portion of unspecified male breast
C501	Malignant neoplasm of central portion of unspecified female breast
C501	Malignant neoplasm of central portion of left female breast
C501	Malignant neoplasm of central portion of left male breast
C502	Malignant neoplasm of upper-inner quadrant of left female breast
C502	Malignant neoplasm of upper-inner quadrant of left male breast
C502	Malignant neoplasm of upper-inner quadrant of right male breast
C502	Malignant neoplasm of upper-inner quadrant of right female breast
C502	Malignant neoplasm of upper-inner quadrant of unspecified female breast
C502	Malignant neoplasm of upper-inner quadrant of unspecified male breast
C503	Malignant neoplasm of lower-inner quadrant of unspecified male breast
C503	Malignant neoplasm of lower-inner quadrant of left female breast
C503	Malignant neoplasm of lower-inner quadrant of right female breast
C503	Malignant neoplasm of lower-inner quadrant of unspecified female breast
C503	Malignant neoplasm of lower-inner quadrant of left male breast
C503	Malignant neoplasm of lower-inner quadrant of right male breast
C504	Malignant neoplasm of upper-outer quadrant of left male breast
C504	Malignant neoplasm of upper-outer quadrant of right male breast
C504	Malignant neoplasm of upper-outer quadrant of right female breast
C504	Malignant neoplasm of upper-outer quadrant of unspecified female breast
C504	Malignant neoplasm of upper-outer quadrant of unspecified male breast
C504	Malignant neoplasm of upper-outer quadrant of left female breast
C505	Malignant neoplasm of lower-outer quadrant of right male breast
C505	Malignant neoplasm of lower-outer quadrant of left female breast
C505	Malignant neoplasm of lower-outer quadrant of right female breast
C505	Malignant neoplasm of lower-outer quadrant of unspecified female breast
C505	Malignant neoplasm of lower-outer quadrant of left male breast
C505	Malignant neoplasm of lower-outer quadrant of unspecified male breast
C506	Malignant neoplasm of axillary tail of right female breast
C506	Malignant neoplasm of axillary tail of right male breast
C506	Malignant neoplasm of axillary tail of unspecified male breast
C506	Malignant neoplasm of axillary tail of left female breast
C506	Malignant neoplasm of axillary tail of left male breast
C506	Malignant neoplasm of axillary tail of unspecified female breast
C508	Malignant neoplasm of overlapping sites of unspecified male breast
C508	Malignant neoplasm of overlapping sites of left male breast
C508	Malignant neoplasm of overlapping sites of right female breast
C508	Malignant neoplasm of overlapping sites of right male breast
C508	Malignant neoplasm of overlapping sites of left female breast
C508	Malignant neoplasm of overlapping sites of unspecified female breast
C509	Malignant neoplasm of unspecified site of left male breast
C509	Malignant neoplasm of unspecified site of unspecified female breast
C509	Malignant neoplasm of unspecified site of unspecified male breast
C509	Malignant neoplasm of unspecified site of right female breast
C509	Malignant neoplasm of unspecified site of right male breast
C509	Malignant neoplasm of unspecified site of left female breast
C510	Malignant neoplasm of labium majus
C511	Malignant neoplasm of labium minus
C512	Malignant neoplasm of clitoris
C518	Malignant neoplasm of overlapping sites of vulva
C519	Malignant neoplasm of vulva, unspecified
C520	Malignant neoplasm of vagina
C530	Malignant neoplasm of endocervix
C531	Malignant neoplasm of exocervix
C538	Malignant neoplasm of overlapping sites of cervix uteri
C539	Malignant neoplasm of cervix uteri, unspecified
C540	Malignant neoplasm of isthmus uteri
C541	Malignant neoplasm of endometrium
C542	Malignant neoplasm of myometrium
C543	Malignant neoplasm of fundus uteri
C548	Malignant neoplasm of overlapping sites of corpus uteri
C549	Malignant neoplasm of corpus uteri, unspecified
C550	Malignant neoplasm of uterus, part unspecified
C560	Malignant neoplasm of ovary
C561	Malignant neoplasm of right ovary
C562	Malignant neoplasm of left ovary
C563	Malignant neoplasm of bilateral ovaries
C569	Malignant neoplasm of unspecified ovary
C570	Malignant neoplasm of right fallopian tube
C570	Malignant neoplasm of left fallopian tube
C570	Malignant neoplasm of unspecified fallopian tube
C571	Malignant neoplasm of left broad ligament
C571	Malignant neoplasm of unspecified broad ligament
C571	Malignant neoplasm of right broad ligament
C572	Malignant neoplasm of unspecified round ligament
C572	Malignant neoplasm of left round ligament
C572	Malignant neoplasm of right round ligament
C573	Malignant neoplasm of parametrium
C574	Malignant neoplasm of uterine adnexa, unspecified
C577	Malignant neoplasm of other specified female genital organs
C578	Malignant neoplasm of overlapping sites of female genital organs
C579	Malignant neoplasm of female genital organ, unspecified
C580	Malignant neoplasm of placenta
C600	Malignant neoplasm of prepuce
C601	Malignant neoplasm of glans penis
C602	Malignant neoplasm of body of penis
C608	Malignant neoplasm of overlapping sites of penis
C609	Malignant neoplasm of penis, unspecified
C610	Malignant neoplasm of prostate
C620	Malignant neoplasm of undescended right testis
C620	Malignant neoplasm of unspecified undescended testis
C620	Malignant neoplasm of undescended left testis
C621	Malignant neoplasm of unspecified descended testis
C621	Malignant neoplasm of descended left testis
C621	Malignant neoplasm of descended right testis
C629	Malignant neoplasm of unspecified testis, unspecified whether descended or undescended
C629	Malignant neoplasm of right testis, unspecified whether descended or undescended
C629	Malignant neoplasm of left testis, unspecified whether descended or undescended
C630	Malignant neoplasm of unspecified epididymis
C630	Malignant neoplasm of left epididymis
C630	Malignant neoplasm of right epididymis
C631	Malignant neoplasm of unspecified spermatic cord
C631	Malignant neoplasm of right spermatic cord
C631	Malignant neoplasm of left spermatic cord
C632	Malignant neoplasm of scrotum
C637	Malignant neoplasm of other specified male genital organs
C638	Malignant neoplasm of overlapping sites of male genital organs
C639	Malignant neoplasm of male genital organ, unspecified
C640	Malignant neoplasm of kidney, except renal pelvis
C641	Malignant neoplasm of right kidney, except renal pelvis
C642	Malignant neoplasm of left kidney, except renal pelvis
C649	Malignant neoplasm of unspecified kidney, except renal pelvis
C650	Malignant neoplasm of renal pelvis
C651	Malignant neoplasm of right renal pelvis
C652	Malignant neoplasm of left renal pelvis
C659	Malignant neoplasm of unspecified renal pelvis
C660	Malignant neoplasm of ureter
C661	Malignant neoplasm of right ureter
C662	Malignant neoplasm of left ureter
C669	Malignant neoplasm of unspecified ureter
C670	Malignant neoplasm of trigone of bladder
C671	Malignant neoplasm of dome of bladder
C672	Malignant neoplasm of lateral wall of bladder
C673	Malignant neoplasm of anterior wall of bladder
C674	Malignant neoplasm of posterior wall of bladder
C675	Malignant neoplasm of bladder neck
C676	Malignant neoplasm of ureteric orifice
C677	Malignant neoplasm of urachus
C678	Malignant neoplasm of overlapping sites of bladder
C679	Malignant neoplasm of bladder, unspecified
C680	Malignant neoplasm of urethra
C681	Malignant neoplasm of paraurethral glands
C688	Malignant neoplasm of overlapping sites of urinary organs
C689	Malignant neoplasm of urinary organ, unspecified
C690	Malignant neoplasm of right conjunctiva
C690	Malignant neoplasm of left conjunctiva
C690	Malignant neoplasm of unspecified conjunctiva
C691	Malignant neoplasm of left cornea
C691	Malignant neoplasm of right cornea
C691	Malignant neoplasm of unspecified cornea
C692	Malignant neoplasm of unspecified retina
C692	Malignant neoplasm of left retina
C692	Malignant neoplasm of right retina
C693	Malignant neoplasm of unspecified choroid
C693	Malignant neoplasm of right choroid
C693	Malignant neoplasm of left choroid
C694	Malignant neoplasm of left ciliary body
C694	Malignant neoplasm of unspecified ciliary body
C694	Malignant neoplasm of right ciliary body
C695	Malignant neoplasm of unspecified lacrimal gland and duct
C695	Malignant neoplasm of left lacrimal gland and duct
C695	Malignant neoplasm of right lacrimal gland and duct
C696	Malignant neoplasm of right orbit
C696	Malignant neoplasm of left orbit
C696	Malignant neoplasm of unspecified orbit
C698	Malignant neoplasm of overlapping sites of left eye and adnexa
C698	Malignant neoplasm of overlapping sites of unspecified eye and adnexa
C698	Malignant neoplasm of overlapping sites of right eye and adnexa
C699	Malignant neoplasm of unspecified site of unspecified eye
C699	Malignant neoplasm of unspecified site of left eye
C699	Malignant neoplasm of unspecified site of right eye
C700	Malignant neoplasm of cerebral meninges
C701	Malignant neoplasm of spinal meninges
C709	Malignant neoplasm of meninges, unspecified
C710	Malignant neoplasm of cerebrum, except lobes and ventricles
C711	Malignant neoplasm of frontal lobe
C712	Malignant neoplasm of temporal lobe
C713	Malignant neoplasm of parietal lobe
C714	Malignant neoplasm of occipital lobe
C715	Malignant neoplasm of cerebral ventricle
C716	Malignant neoplasm of cerebellum
C717	Malignant neoplasm of brain stem
C718	Malignant neoplasm of overlapping sites of brain
C719	Malignant neoplasm of brain, unspecified
C720	Malignant neoplasm of spinal cord
C721	Malignant neoplasm of cauda equina
C722	Malignant neoplasm of unspecified olfactory nerve
C722	Malignant neoplasm of right olfactory nerve
C722	Malignant neoplasm of left olfactory nerve
C723	Malignant neoplasm of unspecified optic nerve
C723	Malignant neoplasm of left optic nerve
C723	Malignant neoplasm of right optic nerve
C724	Malignant neoplasm of unspecified acoustic nerve
C724	Malignant neoplasm of right acoustic nerve
C724	Malignant neoplasm of left acoustic nerve
C725	Malignant neoplasm of unspecified cranial nerve
C725	Malignant neoplasm of other cranial nerves
C728	Overlapping lesion of brain and other parts of central nervous system
C729	Malignant neoplasm of central nervous system, unspecified
C730	Malignant neoplasm of thyroid gland
C740	Malignant neoplasm of cortex of left adrenal gland
C740	Malignant neoplasm of cortex of unspecified adrenal gland
C740	Malignant neoplasm of cortex of right adrenal gland
C741	Malignant neoplasm of medulla of left adrenal gland
C741	Malignant neoplasm of medulla of right adrenal gland
C741	Malignant neoplasm of medulla of unspecified adrenal gland
C749	Malignant neoplasm of unspecified part of right adrenal gland
C749	Malignant neoplasm of unspecified part of unspecified adrenal gland
C749	Malignant neoplasm of unspecified part of left adrenal gland
C750	Malignant neoplasm of parathyroid gland
C751	Malignant neoplasm of pituitary gland
